GalaxyName,ExternalClassAuditOnly,EvidenceType,Confidence,Predicted_S_tau_source_v01,PredictionRule,InterpretationGuardrail,Median_S_tau_eff_clipped_ReadoutOnly,PredictionMinusReadout,AbsPredictionError,BaselineS_tau1AbsError,ReadoutUse
NGC6503,A,regular_kinematics,High,1.075000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.108212568,-0.033212568,0.033212568,0.108212568,post_freeze_diagnostic_only_not_rule_training
NGC7331,A,regular_kinematics,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.648834576,0.401165424,0.401165424,0.351165424,post_freeze_diagnostic_only_not_rule_training
UGC00128,A,low_asymmetry,Medium,1.050000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.174767124,-0.124767124,0.124767124,0.174767124,post_freeze_diagnostic_only_not_rule_training
UGC00191,A,low_asymmetry,High,1.075000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.093121010,-0.018121010,0.018121010,0.093121010,post_freeze_diagnostic_only_not_rule_training
UGC05716,A,low_asymmetry,High,1.075000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.205239693,-0.130239693,0.130239693,0.205239693,post_freeze_diagnostic_only_not_rule_training
UGC05764,A,low_asymmetry,High,1.075000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.588826013,-0.513826013,0.513826013,0.588826013,post_freeze_diagnostic_only_not_rule_training
IC2574,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.764630398,0.085369602,0.085369602,0.235369602,post_freeze_diagnostic_only_not_rule_training
NGC0055,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.719293901,0.105706099,0.105706099,0.280706099,post_freeze_diagnostic_only_not_rule_training
NGC1705,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.832393402,-1.007393402,1.007393402,0.832393402,post_freeze_diagnostic_only_not_rule_training
NGC2366,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.715690471,0.134309529,0.134309529,0.284309529,post_freeze_diagnostic_only_not_rule_training
NGC2976,C,tidal,High,0.725000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.751159293,-0.026159293,0.026159293,0.248840707,post_freeze_diagnostic_only_not_rule_training
NGC3109,C,warp,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.312652669,-0.462652669,0.462652669,0.312652669,post_freeze_diagnostic_only_not_rule_training
NGC3741,C,warp,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.381071587,-0.531071587,0.531071587,0.381071587,post_freeze_diagnostic_only_not_rule_training
NGC5055,C,tidal,High,0.725000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.648740343,0.076259657,0.076259657,0.351259657,post_freeze_diagnostic_only_not_rule_training
UGC00731,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.388491633,-0.538491633,0.538491633,0.388491633,post_freeze_diagnostic_only_not_rule_training
UGC02455,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.000000000,0.850000000,0.850000000,1.000000000,post_freeze_diagnostic_only_not_rule_training
UGC03580,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.136507326,0.688492674,0.688492674,0.863492674,post_freeze_diagnostic_only_not_rule_training
UGC04305,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.088900754,0.736099246,0.736099246,0.911099246,post_freeze_diagnostic_only_not_rule_training
UGC04325,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.602770242,-0.752770242,0.752770242,0.602770242,post_freeze_diagnostic_only_not_rule_training
UGC04499,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.866874180,-0.016874180,0.016874180,0.133125820,post_freeze_diagnostic_only_not_rule_training
UGC05253,C,interaction,High,0.725000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.909625686,-0.184625686,0.184625686,0.090374314,post_freeze_diagnostic_only_not_rule_training
UGC05829,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.915455901,-0.065455901,0.065455901,0.084544099,post_freeze_diagnostic_only_not_rule_training
UGC05918,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.098758861,-0.273758861,0.273758861,0.098758861,post_freeze_diagnostic_only_not_rule_training
UGC06446,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.319528740,-0.469528740,0.469528740,0.319528740,post_freeze_diagnostic_only_not_rule_training
UGC06818,C,interaction,Medium,0.750000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.762041444,-0.012041444,0.012041444,0.237958556,post_freeze_diagnostic_only_not_rule_training
UGC06917,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.117176316,-0.292176316,0.292176316,0.117176316,post_freeze_diagnostic_only_not_rule_training
UGC06973,C,interaction,High,0.725000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.331954703,0.393045297,0.393045297,0.668045297,post_freeze_diagnostic_only_not_rule_training
UGC07323,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.729309947,0.120690053,0.120690053,0.270690053,post_freeze_diagnostic_only_not_rule_training
UGC07399,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,2.000000000,-1.175000000,1.175000000,1.000000000,post_freeze_diagnostic_only_not_rule_training
UGC07577,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.122044561,0.702955439,0.702955439,0.877955439,post_freeze_diagnostic_only_not_rule_training
UGC07603,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.379891839,-0.529891839,0.529891839,0.379891839,post_freeze_diagnostic_only_not_rule_training
UGC08490,C,disturbed_hi,Medium,0.850000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.395464182,-0.545464182,0.545464182,0.395464182,post_freeze_diagnostic_only_not_rule_training
UGC08837,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,0.385018020,0.439981980,0.439981980,0.614981980,post_freeze_diagnostic_only_not_rule_training
UGC12632,C,disturbed_hi,High,0.825000000,source_evidence_type_confidence_no_vobs_no_residuals,prediction_uses_external_source_metadata_only,1.136672933,-0.311672933,0.311672933,0.136672933,post_freeze_diagnostic_only_not_rule_training
