GalaxyName,Class,NPoints,FinalMeanSignedResidual,AbsFinalMeanSignedResidual,MaxAbsCumulativeMeanResidual,RMSAbsResidual,MeanAbsResidual,PositiveResidualFraction,SignImbalance,MaxSameSignRunFraction,FirstBreakRadiusFraction_abs0p15,CumulativeDriftRadiusPearson,Median_S_tau_eff_clipped,InterpretationGuardrail
NGC3109,C,25,0.128416526,0.128416526,0.128416526,0.175872323,0.156025464,0.840000000,0.680000000,0.800000000,,0.969451758,1.312652669,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC3198,A,43,-0.050659103,0.050659103,0.761150844,0.156224675,0.061692456,0.372093023,0.255813953,0.255813953,0.007259530,0.586266992,0.984559896,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC3741,C,21,0.137722705,0.137722705,0.224780340,0.204417802,0.181633241,0.857142857,0.714285714,0.857142857,0.032857100,0.910649279,1.381071587,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC3917,A,17,-0.008894630,0.008894630,0.536797399,0.143599278,0.072647382,0.705882353,0.411764706,0.529411765,0.058546400,0.741391418,1.059575651,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC3972,A,10,0.033354209,0.033354209,0.240550723,0.101666125,0.081464354,0.900000000,0.800000000,0.900000000,0.099770600,0.747071532,1.204107773,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC4183,A,23,-0.004923983,0.004923983,0.100379495,0.067793847,0.058448727,0.391304348,0.217391304,0.608695652,,-0.940882122,0.930379308,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC4559,A,32,-0.130098087,0.130098087,0.227956694,0.133934387,0.130098087,0.000000000,1.000000000,1.000000000,0.031950400,0.810387368,0.705353000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC5055,C,28,-0.116494987,0.116494987,0.174382020,0.117536440,0.116494987,0.000000000,1.000000000,1.000000000,0.013189200,0.589655462,0.648740343,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC5585,A,24,-0.101723376,0.101723376,0.243496697,0.173858302,0.127912725,0.333333333,0.333333333,0.666666667,0.008211680,0.733189300,0.873246096,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC6503,A,31,0.047796563,0.047796563,0.189238889,0.072498888,0.061055173,0.903225806,0.806451613,0.870967742,0.032340400,0.027869232,1.108212568,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
NGC7331,A,36,-0.086335928,0.086335928,0.181968036,0.098042629,0.086375754,0.027777778,0.944444444,0.944444444,0.073533500,0.958829334,0.648834576,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC00128,A,22,0.103579831,0.103579831,0.164505954,0.138644793,0.116456490,0.954545455,0.909090909,0.954545455,0.209302000,0.211646544,1.174767124,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC00191,A,9,0.070366381,0.070366381,0.112198658,0.124355655,0.098928243,0.666666667,0.333333333,0.555555556,,0.415994775,1.093121010,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC00731,C,12,0.210013035,0.210013035,0.678249550,0.339703404,0.262149374,0.666666667,0.333333333,0.666666667,0.083409700,-0.997644825,1.388491633,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC02455,C,8,-0.766182963,0.766182963,0.954220490,0.793075495,0.766182963,0.000000000,1.000000000,1.000000000,0.124069000,0.786740286,0.000000000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC03580,C,47,-0.207662602,0.207662602,0.344927063,0.280295924,0.233293736,0.127659574,0.744680851,0.872340426,0.004065040,-0.062404787,0.136507326,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC04305,C,22,-0.549799788,0.549799788,1.209710424,0.595364088,0.549799788,0.000000000,1.000000000,1.000000000,0.045289900,0.538482692,0.088900754,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC04325,C,8,0.256220303,0.256220303,0.407862458,0.284250470,0.256220303,1.000000000,1.000000000,1.000000000,0.125224000,-0.895933896,1.602770242,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC04499,C,9,-0.096146716,0.096146716,0.362850841,0.137445117,0.096146716,0.000000000,1.000000000,1.000000000,0.111247000,0.795847384,0.866874180,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC05253,C,73,0.013041384,0.013041384,0.602863058,0.080485986,0.032724869,0.356164384,0.287671233,0.575342466,0.002439480,-0.272603059,0.909625686,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC05716,A,12,0.090702888,0.090702888,0.214401710,0.113234578,0.093319961,0.833333333,0.666666667,0.750000000,0.083266000,-0.977542979,1.205239693,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC05764,A,10,0.282744392,0.282744392,0.610889255,0.329468407,0.282744392,1.000000000,1.000000000,1.000000000,0.099447500,-0.978315158,1.588826013,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC05829,C,11,0.011351180,0.011351180,0.196952604,0.138511883,0.124639110,0.454545455,0.090909091,0.545454545,0.182344000,-0.936563923,0.915455901,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC05918,C,8,0.090353387,0.090353387,0.216113546,0.142410680,0.105256231,0.750000000,0.500000000,0.750000000,0.248879000,-0.637264008,1.098758861,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC06446,C,17,0.162087165,0.162087165,0.271772121,0.194477923,0.163168800,0.941176471,0.882352941,0.941176471,0.113503000,-0.408250419,1.319528740,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC06818,C,8,-0.197344531,0.197344531,0.497954915,0.308337983,0.225836671,0.250000000,0.500000000,0.625000000,0.124642000,0.914386901,0.762041444,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC06917,C,11,0.052493396,0.052493396,0.062632196,0.071490065,0.063881068,0.909090909,0.818181818,0.909090909,,0.770340518,1.117176316,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC06973,C,9,-0.155543868,0.155543868,0.456107413,0.212731609,0.157912145,0.111111111,0.777777778,0.888888889,0.221656000,0.990655485,0.331954703,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC07323,C,10,-0.135135774,0.135135774,0.205318235,0.146477568,0.135135774,0.000000000,1.000000000,1.000000000,0.099656400,0.848353751,0.729309947,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC07399,C,10,0.394230355,0.394230355,0.394230355,0.397297610,0.394230355,1.000000000,1.000000000,1.000000000,0.099510600,0.789516117,2.000000000,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC07577,C,9,-0.634542779,0.634542779,0.660596676,0.654467132,0.634542779,0.000000000,1.000000000,1.000000000,0.112426000,-0.796616718,0.122044561,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC07603,C,12,0.118550725,0.118550725,0.233390654,0.180772564,0.170319115,0.833333333,0.666666667,0.833333333,0.082725100,0.941418484,1.379891839,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC08490,C,30,0.184786180,0.184786180,0.257932475,0.186480832,0.184786180,1.000000000,1.000000000,1.000000000,0.033497500,-0.629559200,1.395464182,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC08837,C,8,-0.397132098,0.397132098,0.803801822,0.439660117,0.397132098,0.000000000,1.000000000,1.000000000,0.123810000,0.962262280,0.385018020,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
UGC12632,C,15,0.048576173,0.048576173,0.127492602,0.105256889,0.095608546,0.666666667,0.333333333,0.666666667,,-0.485267603,1.136672933,signed_residual_drift_diagnostic_not_predictive_s_tau_rule
