GalaxyName,AGC,FreezeRole,PointIndex,RadiusKpc,RadiusFraction,aN_over_a0,VobsKms,VbarKms,LogKernelAlphaLn,SignedLogResidual_TPG,CumulativeMeanSignedResidual,HistoryStatePriorMeanSignedResidual,Predicted_S_tau_history_v01,SignedLogResidual_HistoryRule,InterpretationGuardrail
NGC2841,,things_table3_predeclared_expansion_candidate,11,6.860000000,0.107793840,1.821097316,317.000000000,215.077277624,0.157567208,0.241583811,0.220159896,0.218017505,1.109008752,0.226854628,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,12,7.180000000,0.112822124,1.743786703,320.000000000,215.315254058,0.163180786,0.245059435,0.222234858,0.220159896,1.110079948,0.229734522,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,13,7.510000000,0.118007542,1.672285073,316.000000000,215.645808283,0.168747459,0.226172301,0.222537738,0.222234858,1.111117429,0.210256151,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,14,7.850000000,0.123350094,1.614052104,318.000000000,216.600522114,0.173575330,0.223941710,0.222638022,0.222537738,1.111268869,0.207618658,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,15,8.210000000,0.129006914,1.551628279,321.000000000,217.185745204,0.179073653,0.225959077,0.222859426,0.222638022,1.111319011,0.209193656,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,16,8.570000000,0.134663734,1.481274759,323.000000000,216.807408268,0.185712985,0.228298614,0.223199375,0.222859426,1.111429713,0.210996421,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,17,8.900000000,0.139849151,1.416913174,321.000000000,216.088929564,0.192243778,0.219914030,0.223006119,0.223199375,1.111599687,0.202079090,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,18,9.240000000,0.145191703,1.348129721,323.000000000,214.767085164,0.199764327,0.225973064,0.223170949,0.223006119,1.111503060,0.207577710,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,19,9.600000000,0.150848523,1.278878296,323.000000000,213.214197768,0.207971994,0.226412124,0.223341538,0.223170949,1.111585475,0.207383079,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,20,9.930000000,0.156033941,1.224449779,322.000000000,212.183206640,0.214926484,0.222417894,0.223295355,0.223341538,1.111670769,0.202855384,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,21,10.270000000,0.161376493,1.176083144,321.000000000,211.480403395,0.221521317,0.217211722,0.223005659,0.223295355,1.111647678,0.197166808,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,22,10.600000000,0.166561911,1.131593673,323.000000000,210.748301725,0.227967456,0.221627457,0.222943013,0.223005659,1.111502829,0.201138718,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,23,10.930000000,0.171747329,1.090430799,322.000000000,210.075318874,0.234287036,0.216591913,0.222666878,0.222943013,1.111471507,0.195653617,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,24,11.270000000,0.177089881,1.049283697,321.000000000,209.254263875,0.240977728,0.211991478,0.222222070,0.222666878,1.111333439,0.190602711,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,25,12.310000000,0.193431804,0.925363233,323.000000000,205.376638837,0.263766088,0.218710546,0.222081609,0.222222070,1.111111035,0.195784894,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,26,14.350000000,0.225487115,0.706978701,319.000000000,193.818403203,0.317332694,0.222660442,0.222103872,0.222081609,1.111040804,0.196263278,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,27,16.400000000,0.257699560,0.540073455,308.000000000,181.098242454,0.377236884,0.210980889,0.221691909,0.222103872,1.111051936,0.181016277,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,28,18.480000000,0.290383407,0.427308341,299.000000000,170.996634996,0.434174331,0.198210391,0.220853284,0.221691909,1.110845955,0.165204221,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,29,20.570000000,0.323224387,0.354081540,299.000000000,164.223265770,0.482886521,0.205226154,0.220314417,0.220853284,1.110426642,0.169898313,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,30,22.510000000,0.353708360,0.310534895,298.000000000,160.882515302,0.518361974,0.198787002,0.219596837,0.220314417,1.110157209,0.161869730,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,31,24.590000000,0.386392206,0.266888445,296.000000000,155.887052637,0.560695812,0.196095976,0.218838744,0.219596837,1.109798418,0.157407908,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,32,26.680000000,0.419233187,0.223065836,293.000000000,148.448337579,0.612593643,0.202091765,0.218315401,0.218838744,1.109419372,0.161366091,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,33,28.770000000,0.452074167,0.188584246,289.000000000,141.738728053,0.662750400,0.203968170,0.217880637,0.218315401,1.109157701,0.161379269,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,34,30.700000000,0.482401006,0.164197780,289.000000000,136.621397775,0.705137706,0.215567234,0.217812595,0.217880637,1.108940318,0.171501677,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,35,32.790000000,0.515241986,0.145010891,288.000000000,132.689608975,0.743889808,0.218829706,0.217841656,0.217812595,1.108906298,0.173420412,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,36,34.880000000,0.548082967,0.131607022,285.000000000,130.374802857,0.774566521,0.208519600,0.217582710,0.217841656,1.108920828,0.162073140,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,37,36.960000000,0.580766813,0.121520333,283.000000000,128.960394308,0.800049199,0.198127564,0.217056895,0.217582710,1.108791355,0.150906854,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,38,38.900000000,0.611250786,0.113343128,275.000000000,127.772765291,0.822493024,0.166312326,0.215721512,0.217056895,1.108528448,0.118495013,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,39,40.990000000,0.644091766,0.104728252,272.000000000,126.077266071,0.848154865,0.154719353,0.214157354,0.215721512,1.107860756,0.106406030,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,40,43.080000000,0.676932747,0.096347502,271.000000000,123.972104120,0.875440085,0.153218904,0.212633892,0.214157354,1.107078677,0.104444501,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,41,45.160000000,0.709616593,0.087830305,274.000000000,121.189518194,0.905952182,0.170790803,0.211613329,0.212633892,1.106316946,0.121490857,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,42,47.100000000,0.740100566,0.079700125,277.000000000,117.897840438,0.938220288,0.192428841,0.211156556,0.211613329,1.105806665,0.142480236,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,43,49.190000000,0.772941546,0.071918726,281.000000000,114.452504429,0.972600784,0.218841874,0.211335284,0.211156556,1.105578278,0.168095621,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,44,51.270000000,0.805625393,0.065807188,286.000000000,111.772308154,1.002513114,0.245125023,0.212103233,0.211335284,1.105667642,0.193576641,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,45,53.360000000,0.838466373,0.061424092,282.000000000,110.164883561,1.025843266,0.233942844,0.212588557,0.212103233,1.106051616,0.181632932,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,46,55.300000000,0.868950346,0.058884626,283.000000000,109.806846690,1.040180891,0.233685539,0.213047187,0.212588557,1.106294279,0.180909178,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,47,57.380000000,0.901634192,0.056823429,288.000000000,109.877782923,1.052306710,0.244627412,0.213719107,0.213047187,1.106523594,0.191447592,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,48,59.470000000,0.934475173,0.054938134,287.000000000,109.989649377,1.063810687,0.234541829,0.214152914,0.213719107,1.106859554,0.180923563,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,49,61.560000000,0.967316153,0.052645897,289.000000000,109.546237498,1.078370594,0.238495749,0.214649706,0.214152914,1.107076457,0.184427129,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2841,,things_table3_predeclared_expansion_candidate,50,63.640000000,1.000000000,0.050010474,294.000000000,108.557908141,1.095956264,0.256286121,0.215482435,0.214649706,1.107324853,0.201685083,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,1,0.320000000,0.012820513,16.513100803,44.000000000,139.879863812,0.021166259,-1.177539670,-1.177539670,0.000000000,1.000000000,-1.177539670,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,2,0.640000000,0.025641026,8.796850192,64.000000000,144.384136767,0.038760192,-0.851622160,-1.014580915,-1.177539670,0.500000000,-0.832788974,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,3,0.960000000,0.038461538,6.150589057,128.000000000,147.863120656,0.054232877,-0.197070093,-0.742077308,-1.014580915,0.500000000,-0.171012023,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,4,1.280000000,0.051282051,5.064688386,148.000000000,154.934182639,0.064868598,-0.108639534,-0.583717864,-0.742077308,0.628961346,-0.085777620,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,5,1.600000000,0.064102564,4.309571150,157.000000000,159.787541442,0.075122162,-0.090033555,-0.484981002,-0.583717864,0.708141068,-0.069429645,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,6,1.920000000,0.076923077,3.789822594,189.000000000,164.144354457,0.084302699,0.060063657,-0.394140226,-0.484981002,0.757509499,0.079096871,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,7,2.240000000,0.089743590,3.813886837,195.000000000,177.858164558,0.083828158,0.011513789,-0.336189652,-0.394140226,0.802929887,0.026873438,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,8,2.560000000,0.102564103,4.109939785,201.000000000,197.380210508,0.078400527,-0.057305913,-0.301329185,-0.336189652,0.831905174,-0.045010008,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,9,2.880000000,0.115384615,4.009409584,214.000000000,206.777057842,0.080162664,-0.042776827,-0.272601145,-0.301329185,0.849335408,-0.031532497,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,10,3.200000000,0.128205128,3.832851145,215.000000000,213.109034417,0.083457951,-0.071323638,-0.252473394,-0.272601145,0.863699427,-0.060769003,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,11,3.520000000,0.141025641,3.438645932,215.000000000,211.704923065,0.091897772,-0.072472663,-0.236109692,-0.252473394,0.873763303,-0.061791317,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,12,3.840000000,0.153846154,2.977115173,216.000000000,205.745017072,0.104256704,-0.050531656,-0.220644855,-0.236109692,0.881945154,-0.039323107,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,13,4.800000000,0.192307692,2.156601314,214.000000000,195.781407825,0.137146463,-0.039544778,-0.206714080,-0.220644855,0.889677572,-0.026149941,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,14,5.760000000,0.230769231,1.565946304,210.000000000,182.753444154,0.177781331,-0.024662855,-0.193710421,-0.206714080,0.896642960,-0.008938546,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,15,6.720000000,0.269230769,1.151373993,205.000000000,169.261716138,0.225054252,-0.011421284,-0.181557812,-0.193710421,0.903144789,0.006532153,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,16,7.680000000,0.307692308,0.883930799,203.000000000,158.546127515,0.272425300,0.006235638,-0.169820721,-0.181557812,0.909221094,0.025862690,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,17,8.640000000,0.346153846,0.706705689,201.000000000,150.363373366,0.317414159,0.014579210,-0.158973667,-0.169820721,0.915089639,0.035249444,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,18,9.600000000,0.384615385,0.579859203,201.000000000,143.569698753,0.360830048,0.028389442,-0.148564605,-0.158973667,0.920513167,0.049691000,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,19,10.560000000,0.423076923,0.487991748,199.000000000,138.135115014,0.401358303,0.027630542,-0.139291176,-0.148564605,0.925717697,0.049135059,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,20,11.520000000,0.461538462,0.418994326,197.000000000,133.689163547,0.439144668,0.023637342,-0.131144750,-0.139291176,0.930354412,0.045118265,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,21,12.480000000,0.500000000,0.358978296,196.000000000,128.797455720,0.479241545,0.028344113,-0.123550043,-0.131144750,0.934427625,0.049817013,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,22,13.440000000,0.538461538,0.307967015,193.000000000,123.799141152,0.520645187,0.024895056,-0.116802538,-0.123550043,0.938224979,0.046272743,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,23,14.400000000,0.576923077,0.267051409,190.000000000,119.328609101,0.560522366,0.020122349,-0.110849282,-0.116802538,0.941598731,0.041322583,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,24,15.360000000,0.615384615,0.233440572,188.000000000,115.225784224,0.599268680,0.020001968,-0.105397147,-0.110849282,0.944575359,0.040989065,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,25,16.320000000,0.653846154,0.206279390,187.000000000,111.648756822,0.635783222,0.023629048,-0.100236099,-0.105397147,0.947301427,0.044324186,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,26,17.280000000,0.692307692,0.182820221,188.000000000,108.155816302,0.672175301,0.038743678,-0.094890723,-0.100236099,0.949881951,0.059095664,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,27,18.240000000,0.730769231,0.163553271,186.000000000,105.101261648,0.706354205,0.036463341,-0.090025758,-0.094890723,0.952554639,0.056299028,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,28,19.200000000,0.769230769,0.147277367,185.000000000,102.325650743,0.739018530,0.038874552,-0.085422175,-0.090025758,0.954987121,0.058188683,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,29,20.160000000,0.807692308,0.133173858,185.000000000,99.705852135,0.770804000,0.046697771,-0.080866315,-0.085422175,0.957288912,0.065464251,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,30,21.120000000,0.846153846,0.121221085,181.000000000,97.364790864,0.800840736,0.031778745,-0.077111480,-0.080866315,0.959566843,0.049923142,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,31,22.080000000,0.884615385,0.111015005,178.000000000,95.270023355,0.829211012,0.021183606,-0.073940670,-0.077111480,0.961444260,0.038816091,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,32,23.040000000,0.923076923,0.101918499,177.000000000,93.246736672,0.857028444,0.021923070,-0.070944928,-0.073940670,0.963029665,0.039132309,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,33,24.000000000,0.961538462,0.094430678,182.000000000,91.606875561,0.882044488,0.054141678,-0.067154425,-0.070944928,0.964527536,0.070906047,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC2903,,things_table3_predeclared_expansion_candidate,34,24.960000000,1.000000000,0.087650270,180.000000000,90.004622381,0.906631288,0.047757861,-0.063774652,-0.067154425,0.966422787,0.063853157,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,1,0.510000000,0.028748591,10.128722165,143.000000000,138.301952987,0.033895506,0.000071558,0.000071558,0.000000000,1.000000000,0.000071558,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,2,0.690000000,0.038895152,8.899087246,160.000000000,150.786747428,0.038337783,0.021686097,0.010878827,0.000071558,1.000035779,0.021684776,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,3,0.860000000,0.048478016,8.195339962,178.000000000,161.546892418,0.041447208,0.056376802,0.026044819,0.010878827,1.005439414,0.056160349,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,4,1.030000000,0.058060879,7.683073817,188.000000000,171.179601442,0.044048120,0.050623076,0.032189383,0.026044819,1.013022409,0.050073815,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,5,1.200000000,0.067643743,6.737777842,187.000000000,173.027392196,0.049818374,0.029041526,0.031559812,0.032189383,1.016094692,0.028278056,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,6,1.380000000,0.077790304,6.005641666,195.000000000,175.180252026,0.055445930,0.053220743,0.035169967,0.031559812,1.015779906,0.052392118,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,7,1.550000000,0.087373168,5.505361781,199.000000000,177.756166841,0.060085526,0.054542473,0.037937468,0.035169967,1.017584984,0.053546254,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,8,1.710000000,0.096392334,5.255512446,203.000000000,182.419594205,0.062706798,0.046077246,0.038954940,0.037937468,1.018968734,0.044958590,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,9,1.890000000,0.106538895,4.924678592,206.000000000,185.646062980,0.066552274,0.039602923,0.039026938,0.038954940,1.019477470,0.038388277,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,10,2.060000000,0.116121759,4.774450393,211.000000000,190.836392625,0.068459118,0.034224122,0.038546657,0.039026938,1.019513469,0.032974621,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,11,2.230000000,0.125704622,4.570637491,219.000000000,194.270436505,0.071228451,0.051014464,0.039680094,0.038546657,1.019273328,0.049733756,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,12,2.410000000,0.135851184,4.282334023,216.000000000,195.485561743,0.075553148,0.026956798,0.038619819,0.039680094,1.019840047,0.025564087,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,13,2.580000000,0.145434047,3.933369335,214.000000000,193.846566258,0.081549286,0.020514527,0.037227104,0.038619819,1.019309910,0.019059611,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,14,2.750000000,0.155016911,3.675819164,213.000000000,193.468075403,0.086626210,0.013101976,0.035503881,0.037227104,1.018613552,0.011619197,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,15,2.920000000,0.164599775,3.452933141,210.000000000,193.219701118,0.091562024,-0.004330079,0.032848284,0.035503881,1.017751940,-0.005818033,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,16,3.090000000,0.174182638,3.299268359,214.000000000,194.291569426,0.095307885,0.005580552,0.031144050,0.032848284,1.016424142,0.004152430,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,17,3.260000000,0.183765502,3.154928590,213.000000000,195.150407507,0.099118577,-0.006986981,0.028901048,0.031144050,1.015572025,-0.008390282,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,18,3.430000000,0.193348365,3.048674318,212.000000000,196.774343348,0.102125755,-0.022712152,0.026033648,0.028901048,1.014450524,-0.024050278,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,19,3.610000000,0.203494927,2.911456449,215.000000000,197.276178111,0.106292284,-0.014980778,0.023874994,0.026033648,1.013016824,-0.016230649,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,20,3.780000000,0.213077790,2.822529812,217.000000000,198.760950264,0.109180396,-0.015826855,0.021889902,0.023874994,1.011937497,-0.017001214,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,21,3.950000000,0.222660654,2.721489458,219.000000000,199.511425487,0.112660076,-0.013553388,0.020202126,0.021889902,1.010944951,-0.014660983,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,22,4.120000000,0.232243517,2.630711936,220.000000000,200.332380308,0.115982729,-0.016085730,0.018552678,0.020202126,1.010101063,-0.017134971,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,23,4.290000000,0.241826381,2.507728294,218.000000000,199.588163351,0.120812881,-0.025815206,0.016623640,0.018552678,1.009276339,-0.026814607,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
NGC3521,,things_table3_predeclared_expansion_candidate,24,4.460000000,0.251409245,2.387101596,220.000000000,198.549490304,0.125962078,-0.016048695,0.015262293,0.016623640,1.008311820,-0.016978111,yu2022_alfalfa_expanded_scoring_no_af_ac_directional_readout
